Title,Length,Year,Rated,Released,Genre,imdbRating,imdbID,BoxOffice,Awards
Avengers: Endgame,181 min,2019,PG-13,26 Apr 2019,"Action, Adventure, Drama",8.4,tt4154796,"$858,373,000",Nominated for 1 Oscar. 70 wins & 133 nominations total
Avengers: Infinity War,149 min,2018,PG-13,27 Apr 2018,"Action, Adventure, Sci-Fi",8.4,tt4154756,"$678,815,482",Nominated for 1 Oscar. 48 wins & 81 nominations total
The Avengers,143 min,2012,PG-13,04 May 2012,"Action, Sci-Fi",8.0,tt0848228,"$623,357,910",Nominated for 1 Oscar. 39 wins & 81 nominations total
Avengers: Age of Ultron,141 min,2015,PG-13,01 May 2015,"Action, Adventure, Sci-Fi",7.3,tt2395427,"$459,005,868",8 wins & 52 nominations
Iron Man,126 min,2008,PG-13,02 May 2008,"Action, Adventure, Sci-Fi",7.9,tt0371746,"$319,034,126",Nominated for 2 Oscars. 24 wins & 73 nominations total
Thor: Ragnarok,130 min,2017,PG-13,03 Nov 2017,"Action, Adventure, Comedy",7.9,tt3501632,"$315,058,289",6 wins & 50 nominations
Captain America: Civil War,147 min,2016,PG-13,06 May 2016,"Action, Sci-Fi",7.8,tt3498820,"$408,084,349",16 wins & 73 nominations
Guardians of the Galaxy Vol. 3,150 min,2023,PG-13,05 May 2023,"Action, Adventure, Comedy",7.9,tt6791350,"$358,995,815",Nominated for 1 Oscar. 11 wins & 87 nominations total
Spider-Man: No Way Home,148 min,2021,PG-13,17 Dec 2021,"Action, Adventure, Fantasy",8.2,tt10872600,"$814,866,759",Nominated for 1 Oscar. 35 wins & 71 nominations total
Spider-Man: Far from Home,129 min,2019,PG-13,02 Jul 2019,"Action, Adventure, Comedy",7.4,tt6320628,"$391,283,774",11 wins & 26 nominations
Spider-Man: No Way Home,148 min,2021,PG-13,17 Dec 2021,"Action, Adventure, Fantasy",8.2,tt10872600,"$814,866,759",Nominated for 1 Oscar. 35 wins & 71 nominations total
The Amazing Spider-Man,136 min,2012,PG-13,03 Jul 2012,"Action, Adventure, Sci-Fi",6.9,tt0948470,"$262,782,352",2 wins & 33 nominations
The Amazing Spider-Man 2,142 min,2014,PG-13,02 May 2014,"Action, Adventure, Sci-Fi",6.6,tt1872181,"$203,605,622",4 wins & 30 nominations
Spider-Man: Homecoming,133 min,2017,PG-13,07 Jul 2017,"Action, Adventure, Sci-Fi",7.4,tt2250912,"$334,952,829",8 wins & 10 nominations
